id,user_id,cma_account_id,currency,tx_type,source_type,amount,balance_after,ref_type,ref_id,idempotency_key,created_at
1,1,1,KRW,DEPOSIT,MANUAL,340000.0000,340000.0000,,,cma-manual-deposit-20260120,2026-01-20 10:30:00
2,1,1,KRW,COLLECT,CARD,8340.0000,348340.0000,,,cma-card-roundup-202602,2026-02-28 23:59:00
3,1,1,KRW,INTEREST,SYSTEM,1250.0000,349590.0000,,,cma-interest-202602,2026-02-28 23:59:30
4,1,1,KRW,COLLECT,ACCOUNT,5600.0000,355190.0000,,,cma-acct-roundup-202603,2026-03-31 23:59:00
5,1,1,KRW,COLLECT,CARD,11200.0000,366390.0000,,,cma-card-roundup-202603,2026-03-31 23:59:10
6,1,1,KRW,INTEREST,SYSTEM,2100.0000,368490.0000,,,cma-interest-202603,2026-03-31 23:59:30
7,1,1,KRW,COLLECT,CARD,5200.0000,373690.0000,,,cma-card-roundup-202604,2026-04-30 23:59:00
8,1,1,KRW,COLLECT,POINT,15000.0000,388690.0000,,,cma-point-transfer-202604,2026-04-30 23:59:10
9,1,1,KRW,INTEREST,SYSTEM,2800.0000,391490.0000,,,cma-interest-202604,2026-04-30 23:59:30
10,1,1,KRW,COLLECT,CARD,6100.0000,397590.0000,,,cma-card-roundup-202605,2026-05-31 23:59:00
11,1,1,KRW,COLLECT,ACCOUNT,4300.0000,401890.0000,,,cma-acct-roundup-202605,2026-05-31 23:59:10
12,1,1,KRW,INTEREST,SYSTEM,3100.0000,404990.0000,,,cma-interest-202605,2026-05-31 23:59:30
